planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
beacon,sparse,42,42,True,94,3.636236,0,1
surp,sparse,42,42,True,121,4.719752,0,2
beacon,cluttered,42,42,True,98,3.636236,0,6
surp,cluttered,42,42,False,532,18.876667,82,16
beacon,collision_required,42,42,True,110,4.225701,0,2
surp,collision_required,42,42,True,126,4.830832,2,3
beacon,collision_shortcut,42,42,True,111,4.225701,0,3
surp,collision_shortcut,42,42,True,187,6.763371,11,5
beacon,sparse,43,43,True,115,4.418225,0,3
surp,sparse,43,43,True,154,5.930268,0,4
beacon,cluttered,43,43,True,119,4.418225,0,7
surp,cluttered,43,43,False,517,18.096,72,18
beacon,collision_required,43,43,True,116,4.418225,0,3
surp,collision_required,43,43,True,142,5.294167,16,4
beacon,collision_shortcut,43,43,True,118,4.418225,0,5
surp,collision_shortcut,43,43,True,275,10.313876,16,9
beacon,sparse,44,44,True,114,4.345149,0,3
surp,sparse,44,44,True,276,10.689871,6,7
beacon,cluttered,44,44,True,121,4.539108,0,6
surp,cluttered,44,44,False,504,15.979143,77,14
beacon,collision_required,44,44,True,115,4.345149,0,4
surp,collision_required,44,44,True,235,6.878714,60,4
beacon,collision_shortcut,44,44,True,115,4.345149,0,4
surp,collision_shortcut,44,44,True,134,5.0242,4,5
beacon,sparse,45,45,True,111,4.277556,0,3
surp,sparse,45,45,True,148,5.64653,2,6
beacon,cluttered,45,45,True,116,4.277556,0,8
surp,cluttered,45,45,False,508,19.2,35,18
beacon,collision_required,45,45,True,112,4.277556,0,3
surp,collision_required,45,45,True,179,6.263473,17,5
beacon,collision_shortcut,45,45,True,114,4.277556,0,6
surp,collision_shortcut,45,45,True,208,7.159335,22,9
beacon,sparse,46,46,True,108,4.185129,0,2
surp,sparse,46,46,True,153,5.821603,10,3
beacon,cluttered,46,46,True,112,4.185129,0,6
surp,cluttered,46,46,True,178,6.730514,4,6
beacon,collision_required,46,46,True,108,4.185129,0,2
surp,collision_required,46,46,True,155,5.923024,6,4
beacon,collision_shortcut,46,46,True,111,4.126427,0,5
surp,collision_shortcut,46,46,True,249,9.29819,21,5
beacon,sparse,47,47,True,120,4.569104,0,3
surp,sparse,47,47,True,139,5.327045,2,3
beacon,cluttered,47,47,True,125,4.569104,0,8
surp,cluttered,47,47,True,156,5.693703,0,12
beacon,collision_required,47,47,True,119,4.569104,0,2
